CHA_Speed,brake,throttle,steer,position.x,position.y,position.z,tel_time,engineRPM,lapDistance
226.9465172280765,0.0,100.0,0.0,-270.2578,22.0653,-41.8793,0.0,6265.1,0.0
226.98208625174146,0.0,100.0,1.0183521880530817,-269.96948851454846,22.06408684275421,-41.47060598785077,0.007931384107520973,6265.706578622895,0.5
227.01765527540647,0.0,100.0,2.0367043761061634,-269.68117702909694,22.062873685508418,-41.06191197570154,0.015862768215041945,6266.3131572457905,1.0
227.05082819793054,0.0,100.0,2.1825,-269.39278862860743,22.061860708588185,-40.65329558250059,0.023791870386918337,6268.038616565922,1.5
227.08360075550968,0.0,100.0,2.1825,-269.1043873763713,22.06088117983241,-40.24469215866284,0.0317205912697819,6269.951029851007,2.0
227.11378899113333,0.0,100.0,2.1825,-268.81591688267866,22.05993511195306,-39.8361457910373,0.03964756324416405,6273.192796590113,2.5
227.14293668786587,0.0,100.0,2.1825,-268.52741850994096,22.05900251659913,-39.42762239624905,0.04757383104649515,6276.969807773522,3.0
227.17084992788236,0.0,100.0,2.1825,-268.23890297987816,22.058053889376882,-39.01903915198861,0.05549885910032051,6281.139414397491,3.5
227.1978257801718,0.0,100.0,2.1825,-267.95037442135856,22.05709308831621,-38.61041046088506,0.06342294574808538,6285.607139329613,4.0
227.2254626979827,0.0,100.0,2.1825,-267.6620103624708,22.056039402047837,-38.20194466770962,0.07134607908176673,6289.675226848522,4.5
227.25379654716593,0.0,100.0,2.1825,-267.37381972807805,22.054887791121192,-37.793650610425566,0.07926820737968236,6293.321994782896,5.0
227.28390323134377,0.0,100.0,2.1825,-267.08557123528885,22.05367785567907,-37.38515049079923,0.08718950668063154,6295.848096213955,5.5
227.31663882475374,0.0,100.0,2.1825,-266.7972369451904,22.052381431726918,-36.97634480455465,0.09510957667496998,6296.7123788487215,6.0
227.3502976962278,0.0,100.0,2.1825,-266.5089797823031,22.051037780638868,-36.56753227959156,0.10302888636907498,6296.718498223091,6.5
227.3859175841475,0.0,100.0,2.1825,-266.2208864354268,22.049593820452422,-36.15870522938415,0.11094658120702842,6294.901903149821,7.0
227.42153849565287,0.0,100.0,1.995544240125167,-265.93285369682883,22.048151582266375,-35.74988381365932,0.11886381482784003,6293.177280652611,7.5
227.45716429233775,0.0,100.0,0.9163207615359836,-265.6451102181617,22.04671756252392,-35.341089289146296,0.12677884723716043,6291.891607780066,8.0
227.492672123577,0.0,100.0,0.0,-265.3573633979955,22.04530326353023,-34.93225285370185,0.13469350127384358,6290.771894790033,8.5
227.52751640426933,0.0,100.0,0.0,-265.06959778204185,22.04399989289828,-34.52318067107469,0.14260602698075173,6290.585698985468,9.0
227.56235789375924,0.0,100.0,0.0,-264.7818327911539,22.042697144229898,-34.11410810250969,0.15051854574277787,6290.399130852577,9.5
227.59615609914215,0.0,100.0,0.0,-264.4943014347557,22.04162687052911,-33.704891279696014,0.15842846867553542,6290.073395378425,10.0
227.62995430452506,0.0,100.0,0.0,-264.2067700783575,22.040556596828328,-33.29567445688233,0.16633839160829295,6289.747659904273,10.5
227.6627677631415,0.0,100.0,0.0,-263.91922920471654,22.03972458594591,-32.8861888002515,0.17424615998494866,6289.8688535135225,11.0
227.6954124441244,0.0,100.0,0.0,-263.6316866998971,22.038933411384065,-32.47665706767809,0.18215355908810937,6290.0666471539835,11.5
227.72740429829994,0.0,100.0,0.0,-263.34445074224004,22.03834938800045,-32.06723773634221,0.1900590521766923,6290.9261219991695,12.0
227.75926374231503,0.0,100.0,0.0,-263.05727696027566,22.0378073802333,-31.65784120288431,0.19796415867622394,6291.919802905621,12.5
227.79052575655564,0.0,100.0,0.0,-262.77032638948765,22.037363586634832,-31.2485332159745,0.20586775377887054,6293.127446778096,13.0
227.82141752294308,0.0,100.0,0.0,-262.48351415037035,22.036980659746824,-30.839280104416964,0.2137704122166976,6294.46769088612,13.5
227.85160480994762,0.0,100.0,0.0,-262.1966300074624,22.03664820231093,-30.429761794999287,0.22167188821967698,6296.137284208654,14.0
227.8811628743003,0.0,100.0,0.0,-261.90968164195976,22.036360822876276,-30.020006617754284,0.22957230810262144,6298.101043678793,14.5
227.9102506650331,0.0,100.0,0.0,-261.6228096693183,22.03603130361572,-29.610215955868373,0.23747178585575102,6300.4441358340655,15.0
227.93874085136554,0.0,100.0,0.0,-261.33603477358713,22.03564823479524,-29.200380201558282,0.24537006638900835,6303.269268385099,15.5
227.9673565579028,0.0,100.0,0.0,-261.0493963317629,22.035197988640807,-28.790631226656277,0.2532676213003299,6306.076388236097,16.0
227.99620335212205,0.0,100.0,0.0,-260.76300910700047,22.034624066346694,-28.3810420160909,0.26116384031285045,6308.850345990977,16.5
228.0254658218237,0.0,100.0,0.0,-260.476572500358,22.03398756387877,-27.971344691143432,0.269059513947431,6311.299879757606,17.0
228.05590458106388,0.0,100.0,0.0,-260.1899961515575,22.033173970370154,-27.561341421241334,0.27695364425700797,6312.831349891477,17.5
228.08667662447732,0.0,100.0,0.0,-259.9034417575584,22.032343994219744,-27.151316760613074,0.2848473967915383,6314.149264983239,18.0
228.11905745322574,0.0,100.0,0.0,-259.6169933408763,22.03143493794499,-26.74118884549716,0.2927393257802663,6314.436335385793,18.5
228.15154501234562,0.0,100.0,0.08251796051579355,-259.33057946023087,22.030513039491783,-26.331092041277547,0.30063106389329963,6314.662191083383,19.0
228.18523488184275,0.0,100.0,1.0945951352640089,-259.04455462569035,22.029446474771543,-25.921345699189335,0.30852065180461186,6314.198467291975,19.5
