CHA_Speed,brake,throttle,steer,position.x,position.z,tel_time,engineRPM,lapDistance
217.67122887943538,0.0069357303104678365,100.0,0.0882382557070488,-272.448087362113,-41.522337827285654,-0.001499816064964145,6619.168855374256,0.0
217.70953211550676,0.00686306694642626,100.0,0.2208840066352314,-272.1770959787805,-41.10214963196784,0.0067684345252013185,6618.418333995002,0.5
217.7475768485036,0.006796598779997928,100.0,0.2727273106575012,-271.90605401931725,-40.68200003486211,0.015035618859577634,6617.787161117526,1.0
217.78518053758353,0.006737599400537107,100.0,0.2918264877580733,-271.63497354943377,-40.26186879142156,0.023301430013816973,6617.513585335698,1.5
217.82225915868037,0.006685278174320304,100.0,0.35646092104336646,-271.36387575999123,-39.841733938170314,0.0315658843378469,6617.80860431105,2.0
217.85886152481592,0.006639053430523273,100.0,0.4930407840287824,-271.09274286427893,-39.42162486926443,0.039828966208532934,6618.728517722434,2.5
217.8949751925201,0.006599164416290237,100.0,0.6268404190551343,-270.82160744781174,-39.00151771799837,0.04809041276884575,6620.036178049413,3.0
217.93051097915168,0.0065636867887115995,100.0,0.7596346690307243,-270.5504374644938,-38.581433143492895,0.056350561403011264,6621.424392708248,3.5
217.96535183255125,0.006532165989738558,100.0,0.8181817852888393,-270.2792624841777,-38.1613661557934,0.06460943520527161,6622.9881562088885,4.0
217.99936855563064,0.006504188241786939,100.0,0.8181817702475905,-270.0080701673,-37.74130909332637,0.07286706200004253,6624.907059500793,4.5
218.03248513643254,0.006546779604872225,100.0,0.8181818127632141,-269.73684375833,-37.32125263683693,0.08112347210784955,6627.378095957311,5.0
218.0647694601764,0.00702028341751718,100.0,0.8181818127632141,-269.46565862050284,-36.90118371487178,0.08937858502583029,6630.56889057932,5.5
218.09689705142384,0.007454849367320526,100.0,0.654181276336236,-269.19442697872313,-36.481134073909814,0.09763233396907059,6634.100898727968,6.0
218.12930410363708,0.007843196080747248,100.0,0.40876315128722296,-268.9232251512633,-36.06107500812904,0.10588491574123553,6637.3271896190545,6.5
218.16227384421796,0.008188196577056762,100.0,0.2727273106575012,-268.6520193526773,-35.64103317881579,0.11413631746296525,6639.943411747339,7.0
218.19593215960373,0.00849438661992136,100.0,0.25932707539833577,-268.38080224014436,-35.22099760072832,0.12238651731003877,6641.845727556713,7.5
218.23024130281422,0.008765880040783984,100.0,0.20638254710371104,-268.1096007313394,-34.80092583150347,0.1306354890697768,6643.12879296447,8.0
218.26511356396608,0.009001925742344803,100.0,0.07406934036840804,-267.8384072234289,-34.38087054349157,0.1388830116495187,6644.071539564039,8.5
218.30043675784887,0.009209411118343959,100.0,0.01611987843875981,-267.56716232796,-33.96082222397046,0.14712912677704432,6644.968175832543,9.0
218.3360556554283,0.00939390296089232,100.0,0.0,-267.29594312579405,-33.54076969219932,0.1553739649213293,6645.770620416126,9.5
218.3719020546207,0.009557779093375952,100.0,0.0,-267.02474040416814,-33.120714528137164,0.16361752202594693,6646.384355524114,10.0
218.40789818393026,0.009617252149078194,100.0,0.0,-266.7535257749141,-32.700666478760766,0.17185978849285444,6646.756436143776,10.5
218.44393607415157,0.009357956999029995,100.0,0.0,-266.48227752202524,-32.28064162477318,0.18010075071936735,6646.923757902673,11.0
218.4798675114876,0.008485419277915877,100.0,0.0,-266.2110670840797,-31.86058961100033,0.18834008828849497,6647.117671999758,11.5
218.51548206385388,0.0077103921067725005,100.0,0.0,-265.9398211629672,-31.44056132751296,0.19657811297038258,6647.530932695825,12.0
218.55071140014812,0.007021360647588004,100.0,0.0,-265.66856374533273,-31.0205385225618,0.20481486834209375,6648.204486660783,12.5
218.5855258117369,0.00640941233675529,100.0,0.0,-265.3973029079436,-30.60051503442816,0.2130503629664299,6649.120723926598,13.0
218.61993015669412,0.005866447948312245,100.0,0.0,-265.1260406169958,-30.180493676078424,0.2212846056487097,6650.226583946043,13.5
218.6539367331414,0.0053890419202899135,100.0,0.0,-264.8547852796747,-29.760486797388694,0.2295175387630375,6651.465945898753,14.0
218.6875825565511,0.0049745289934196215,100.0,0.0,-264.58351079141124,-29.3404571654737,0.2377490116777457,6652.830706781226,14.5
218.72106450539403,0.004605677263521125,100.0,0.0,-264.3122407871306,-28.920438099368862,0.24597927657964674,6654.2994331440805,15.0
218.75442584484514,0.00427781284378268,100.0,0.0,-264.04094826517627,-28.500435686676628,0.2542083415074352,6655.830923991275,15.5
218.78768755321855,0.003986677502646699,100.0,0.0,-263.76963425537366,-28.080449363353797,0.26243621448252924,6657.385808187894,16.0
218.82086291912015,0.003754761128691731,100.0,0.0,-263.49832459326024,-27.660473321758854,0.2706629014292214,6658.934973123657,16.5
218.85400955943018,0.0038571380972294445,100.0,0.0,-263.2270085962823,-27.24049283874935,0.2788881881363644,6660.472796502643,17.0
