run_no,file,lap_time,session,username,brake_mean,brake_std,brake_median,brake_max,brake_q25,brake_q75,CHA_Speed_mean,CHA_Speed_std,CHA_Speed_median,CHA_Speed_max,CHA_Speed_q25,CHA_Speed_q75,throttle_mean,throttle_std,throttle_median,throttle_max,throttle_q25,throttle_q75,steer_mean,steer_std,steer_median,steer_max,steer_q25,steer_q75,engineRPM_mean,engineRPM_std,engineRPM_median,engineRPM_max,engineRPM_q25,engineRPM_q75,steer_speed_mean,steer_speed_std,steer_speed_median,steer_speed_max,steer_speed_q25,steer_speed_q75,rolling_std__brake_mean,rolling_std__brake_std,rolling_std__brake_median,rolling_std__brake_max,rolling_std__brake_q25,rolling_std__brake_q75,rolling_std__CHA_Speed_mean,rolling_std__CHA_Speed_std,rolling_std__CHA_Speed_median,rolling_std__CHA_Speed_max,rolling_std__CHA_Speed_q25,rolling_std__CHA_Speed_q75,rolling_std__throttle_mean,rolling_std__throttle_std,rolling_std__throttle_median,rolling_std__throttle_max,rolling_std__throttle_q25,rolling_std__throttle_q75,rolling_std__steer_mean,rolling_std__steer_std,rolling_std__steer_median,rolling_std__steer_max,rolling_std__steer_q25,rolling_std__steer_q75,rolling_std__engineRPM_mean,rolling_std__engineRPM_std,rolling_std__engineRPM_median,rolling_std__engineRPM_max,rolling_std__engineRPM_q25,rolling_std__engineRPM_q75,rolling_std__steer_speed_mean,rolling_std__steer_speed_std,rolling_std__steer_speed_median,rolling_std__steer_speed_max,rolling_std__steer_speed_q25,rolling_std__steer_speed_q75,bkpoint_relative,bkrelease_relative,brkmax_relative,brkmax_brake,brkpoint_grad,brkrelease_grad,speed_entry,speed_exit,porc_full_throttle,segment_time
0,20190724-182843_2347621_01.csv,190.20149994,0,20190724.carmello,1.6771977401129945,3.757597136429799,0.0,13.8,0.0,0.0,131.61627673500104,32.53329726650647,120.29752363948977,215.0231128049336,111.32131218193413,156.69979445804194,22.83101694915254,22.862467961681183,21.15,74.15,0.0,35.9,-6.03011593220339,16.73620235612224,-8.3025,43.3485,-17.387999999999998,-0.2025,5651.8451525423725,563.0212468141915,5575.6,7002.3,5283.45,5999.8,-0.14735593220338977,31.965082232794988,0.0,157.95000000000013,-18.900000000000006,0.0,1.3694467297496828,2.1501721871527795,1.9181941481387343e-07,6.31900730070251,1.9181941481387343e-07,2.3597821162042862,7.591769144561979,5.309646843712298,7.413294301837418,19.154593578032944,3.528837719726682,10.806492104791065,5.771556391250574,5.130734426136869,5.96162442872289,17.885008734613077,0.0,8.960982753282643,7.189584237007218,8.41814962314941,3.4377547530774453,33.603497331801904,1.3347621509228573,11.544173139342057,289.6159012261283,182.02628228708284,299.2452049128224,723.3998148801212,176.33188075008684,367.7392599292972,21.84936335124592,18.712782470691277,15.34502950969032,66.46461961867587,13.946980464256496,23.59113700944269,34.2424891866757,342.4403012091182,216.02877191877855,13.8,3.78185984665282,-1.8323048205835328,215.0231128049336,179.14131792158724,0.0,24.57549668
1,20190724-182843_2347621_02.csv,124.82400513,0,20190724.carmello,3.771846522781775,8.705745111579484,0.0,30.86666666666667,0.0,0.0,139.61388909054457,38.38936078245969,126.67791795793916,241.27616297491798,116.52175431959304,156.58189704952704,32.78654676258992,31.722949377764888,26.200000000000006,100.0,6.275,45.2375,-6.315678776978419,16.794790183517286,-8.3025,34.5195,-17.577,0.3915,5734.667697841727,858.9495560600444,5816.75,7301.2,5025.675,6391.075,-0.11363309352518006,33.90913963830387,0.0,198.44999999999987,-18.900000000000006,0.0,2.839303912960687,4.516577481465793,9.908215087984749e-07,14.39744033565941,9.908215087984749e-07,6.067979352525002,8.827012459409096,8.98561937360002,6.5347942758727005,33.83062707801883,2.4212007153194057,10.34024970987045,9.325544626957154,7.954265720534785,5.597085621105726,40.07059283926244,3.8144711881799007,15.502199180843094,7.524366611569677,8.243875973734351,3.6649459515609024,31.66915537013155,1.6276178430125172,11.977741829923374,253.2547560208616,166.01971669829837,232.83101560739772,589.9394626380232,114.31962027642304,393.23057812136904,23.540751054861165,19.58437971471002,18.61007176383838,72.18955800433888,13.321763091246286,30.017819875525504,73.24626409202773,334.17378836730427,208.7153907914519,30.86666666666667,12.516879099326951,-4.875097578289487,239.51593234499958,185.17205927443808,0.1223021582733813,23.15850830000002
2,20190724-182843_2347621_03.csv,116.91000366,0,20190724.carmello,4.553118908382067,10.893617910450724,0.0,42.13333333333335,0.0,0.0,142.04308820451655,41.079323831869914,135.0023233438783,243.73682392759613,104.61528978192963,167.0966297934874,40.65522660818713,36.197393532666226,33.35,100.0,3.0999999999999996,66.05,-7.220111842105264,17.51911311343103,-7.7085,33.534,-18.3735,0.3915,6113.7483918128655,609.347876515016,6249.25,7316.1,5634.675,6526.075000000001,-0.17368421052631638,35.54018803198193,0.0,157.95000000000064,-20.2499999999997,18.89999999999996,2.4452456775848814,5.086992861615788,0.0,16.35348404543644,0.0,0.0,9.784474909672776,10.858715117156649,7.103275898290786,40.3046942880612,2.8546188723275177,11.271418318608976,12.575042040593265,8.482892790951317,14.672492203735537,33.94483422836907,6.359426756706383,16.699079235447915,8.06283024169583,8.179411511868373,4.775612185385392,30.97516574438238,1.755971923488382,13.010139520018775,260.76713003700667,153.20185380179566,299.54373357567806,608.3659967106714,164.5646616780354,353.8011001201356,26.30510108479897,18.319926817548257,22.813885598192982,65.90899452833567,15.478821314831508,32.898352584043565,62.67420053632384,234.64643980050334,140.05129634423986,42.13333333333335,32.85247037295795,-11.341419876966302,242.74546898499588,197.8781484602158,0.1966374269005848,22.774993900000027
3,20190724-182843_2347621_04.csv,131.65447998,0,20190724.carmello,1.231403013182674,4.35407406178877,0.0,26.4,0.0,0.0,137.13422496788587,29.066182377212076,145.01496339720697,197.97910028988412,108.86305885516322,155.32878718182602,46.50886299435029,37.47400287341188,41.25,100.0,9.012500000000001,95.025,-6.843851694915254,16.521344000587963,-7.7085,35.505,-16.9965,-0.3915,5999.526271186442,372.9542417036484,5954.700000000001,7029.8,5719.425000000001,6258.474999999999,-0.098199152542373,37.025083636764776,0.0,176.85000000000002,-20.24999999999999,18.900000000000006,1.5232399584195415,3.0584283934635774,3.994137050252765e-07,8.956338662276522,3.994137050252765e-07,3.994137050252765e-07,7.891196748988518,5.695913830091686,7.8201522629453555,20.686957778413543,3.191798179322282,11.74937734824181,15.502236340203044,12.379461256427833,14.55556840492601,46.74427478916882,7.276083444577359,22.480506198564406,7.907820428874869,7.710090170379867,5.115493758680187,30.494214186818297,2.974248091953009,11.903743404601709,254.15248679381713,131.51032649525462,318.53898970814964,417.7239236937865,147.40794886995917,353.3795072863652,28.864215150767436,17.670677837603325,28.402832634565513,61.745403824635716,17.59067292988252,41.47185642080183,141.17831399919555,220.52939173995583,190.95629616879035,26.4,22.01881489383681,-12.77844541121468,108.19203504522505,197.97910028988412,0.25,23.592010500000015
4,20190724-183848_2952312_01.csv,116.00999451,1,20190724.carmello,3.701219195849547,9.323242360592275,0.0,28.6,0.0,0.0,150.9898242171182,40.252289767676146,151.24407846745734,240.49544765678039,110.46221144978044,179.20979901395125,40.04295719844358,34.44168723957353,35.25,100.0,0.0,70.05,-7.321853696498055,17.14485279439596,-7.3035,32.751000000000005,-17.1855,-0.0,6166.864591439688,353.52518308747557,6127.1,7371.1,5906.8,6411.3,-0.21536964980544818,34.362215197713,0.0,157.9500000000003,-18.900000000000095,0.0,2.453024799182079,4.832192824156921,8.620464924679152e-07,13.87865742359939,8.620464924679152e-07,8.620464924679152e-07,10.031262227457875,10.428519733714795,7.542279539944692,38.45253147369019,3.1392032287624017,12.238495585350707,11.412238827415454,7.816456870543986,13.126139670548762,26.53823986842514,2.7037976270498643,16.85872024328078,8.495993277593904,7.989684131435652,5.004898070457778,30.216055693583904,2.991950171803166,14.09888416779357,249.62057510614486,137.413351044259,297.84437444401647,489.95752953443804,172.41730184025383,355.76663035672266,26.210818384469924,16.22640374113739,26.878058428286288,60.74475504996626,20.61364986005056,31.99908798068276,104.88260350449895,239.74341294083206,178.95917086893633,28.6,20.937025293215,-9.53809977614079,240.05046642599132,202.78321951943852,0.11439688715953307,21.393501280000006
5,20190724-183848_2952312_02.csv,115.32699585,1,20190724.carmello,3.95056179775281,9.701619086138093,0.0,40.66666666666667,0.0,0.0,155.8830193394839,38.91074863091128,154.2494225745585,245.48595552657105,121.18962479383333,179.08757038149645,44.13559390048154,37.33438937021736,39.075,100.0,0.0,83.7125,-6.391079855537721,16.99374229149431,-7.5059999999999985,33.345,-17.577,0.3915,6111.204173354736,404.0029364065803,6106.05,7070.9,5828.375,6413.225,-0.2221107544141252,37.85772152408215,0.0,217.35000000000005,-20.24999999999988,18.899999999999995,3.0032998009369356,4.7438495898429665,0.0,16.98645195689059,0.0,4.775470065818089,9.91625889464601,9.382201994195912,7.559312170346869,36.430199974812346,2.9807143233740705,12.898422334658923,14.371069820853553,10.41199319351618,13.680549841028316,42.93949279167176,3.9866130517603793,22.424666421149404,8.398307510576878,8.081191760535475,4.637936584688076,30.329634081079085,2.9528111695817083,13.19823505077233,268.15122765142473,144.58238497201296,342.85320570255715,462.2957106489553,132.04368235080418,363.93241144661295,28.009635812749988,20.522073608614406,26.970031824362586,73.49173130214332,16.82502597949017,30.218451026189854,82.48881034837484,336.4930667905246,134.51004837189555,40.66666666666667,48.81907009571347,-6.5087483205895404,243.9617393358951,202.86506282860643,0.1998394863563403,20.74299621
6,20190724-183848_2952312_03.csv,113.27749633,1,20190724.carmello,4.1135449735449745,12.028865788986602,0.0,44.60000000000001,0.0,0.0,154.11287922170524,41.61580747942376,156.34571604706045,245.64913358915803,113.42236045854044,183.11699397153598,46.040396825396826,37.72969114589628,41.0,100.0,1.55,74.10000000000002,-7.109796428571429,16.8111800441313,-7.803000000000001,29.2275,-18.765,0.6412500000000001,6207.394682539682,408.02073865510226,6209.7,7077.5,5959.475,6495.775,-0.25178571428571395,37.96982700635974,0.0,178.20000000000036,-20.2499999999997,18.9,2.8535826248160525,6.4935561970607365,0.0,20.383544339580958,0.0,0.0,9.931487746242238,11.181107262668077,7.579733082550881,45.23117387189669,3.2187895091871375,10.932983013884211,11.816696119554297,9.43165416843671,11.489577638339618,41.3359764269984,0.0176776696315248,20.306721590377876,8.344037806210757,7.841930873226221,5.188994471855709,29.213101171686837,2.9871292012271526,13.227668863202757,263.312154202094,147.21301442344264,311.33930953849017,542.446868369633,156.78578052696295,372.3025066245126,28.791648799174673,19.419694875113287,25.364440600807235,73.5462433198994,18.740051133112722,41.82472373940217,89.03252867482496,213.59014348886524,134.15329774362544,44.60000000000001,60.88625569636462,-17.04894712965557,244.32900174969,207.31772330311173,0.21984126984126984,20.992492670000047
7,20190724-183848_2952312_04.csv,117.50952149,1,20190724.carmello,3.607217959647628,8.229298097287014,0.0,31.4,0.0,0.0,165.7035897742294,37.883250019384604,170.1547883212459,244.9148064280116,125.76072323940888,193.96259324647113,50.90115089514067,38.73413856752862,55.75,100.0,0.0,86.2,-7.4600447570332475,17.83443901438112,-6.723,36.6795,-21.5325,0.3915,6167.463171355498,493.66117927416286,6199.6,7233.0,5750.9,6608.9,-0.2531969309462916,44.393886890755645,0.0,276.75000000000006,-20.24999999999988,0.0,2.0678384375187395,3.961303964552474,3.9351679709710684e-07,11.614704281881462,3.9351679709710684e-07,3.9351679709710684e-07,9.567850225963253,9.074872931562465,6.971761140955186,31.441835586841446,3.329956816904956,13.074550155018903,11.982378138662042,8.588700918277015,12.211986645881872,35.410590882825645,3.3257085994481614,18.102366080878223,9.422711108496665,8.73666295401101,6.823579316535087,31.705684150959353,3.0225207285720987,14.23410210599158,262.6724464130677,152.35798098369347,282.7608869054457,537.9491821836496,161.74776141453867,389.18867608391287,30.369481687085553,28.22355796135142,23.456749881698506,93.34642211163057,19.97771602625353,24.735239442725124,63.08919719906663,238.51580504415477,102.38430325778455,31.4,50.93387420566057,-9.060781807769256,243.9661812496019,212.07202179616246,0.20375106564364875,19.527008050000006
8,20190724-184911_3575098_01.csv,112.81100464,2,20190724.carmello,3.8555200000000003,10.063865105241993,0.0,39.6,0.0,0.0,155.3665100362462,40.97214609838177,156.42597524127365,240.02346157366864,112.80234876202624,183.7585244822623,47.21456,39.15121052834852,44.55,100.0,0.0,83.1,-6.7662108,17.42209038885338,-7.7085,32.3595,-18.171,0.2025,6080.2112799999995,509.66929291774704,6167.200000000001,7127.2,5841.35,6459.275,-0.2213999999999989,36.07190571546722,0.0,178.20000000000002,-18.900000000000095,0.0,2.608810328327429,5.196579317939434,0.0,16.79781097314976,0.0,0.0,10.325427404973823,10.52053221554817,7.571896970733066,39.59644673013304,3.4137322727341273,13.83405668865716,14.998877687228054,10.667539141450485,14.464369301861714,46.1068008887079,6.3763576572505745,21.816915790882902,8.468169186869627,8.560456895364327,5.011563236948183,30.857372217528997,1.7121858880066618,14.159051102914287,287.18565945104604,166.2296838954923,324.9986210568877,615.6119911616863,183.30378382282015,374.5845440008395,25.678086930889993,20.065366876494366,20.810921609305062,71.72830978113025,15.629131984307769,28.71014735670506,98.15946148580679,241.02650077986584,150.95873163240867,39.6,45.727423011561534,-13.279668004007506,237.23809106364018,205.44761978120258,0.2144,20.809997560000003
9,20190724-184911_3575098_02.csv,114.27799988,2,20190724.carmello,4.825770750988142,12.64694055434622,0.0,41.66666666666667,0.0,0.0,153.44691723637257,46.70414500234118,158.4021032029916,246.19762301590808,101.75084537356531,188.0271824025877,48.85304347826087,37.26501609646486,56.25,100.0,5.0,75.44999999999997,-7.33001976284585,17.89504081972105,-6.912000000000001,30.9825,-20.1555,0.3915,6180.998181818182,482.63873624046465,6192.9,7174.1,5758.3,6595.2,-0.28067193675889307,32.69989493713106,0.0,217.35000000000002,-18.900000000000006,0.0,3.135981113018501,6.515683285365165,1.1620927957463437e-06,19.656846186762778,1.1620927957463437e-06,1.1620927957463437e-06,11.110188060190056,12.386531142141525,7.406863829107508,47.821211713966086,3.270750824549696,13.46307706095216,11.314166824440614,8.114471466024966,12.24123923988668,43.94997539960209,7.214926790547863,15.275450293143258,8.520208000609687,8.058868812658659,6.097253302946765,29.581877320967273,1.9184010255204091,13.804001388374507,258.4023227520775,139.14529116403514,273.1135662252602,500.32610479033605,192.91198030375224,378.798000159217,23.32363850671146,16.442209408784038,19.64617311406057,59.57726412348672,15.62474827133908,29.62663998386704,96.10746719024314,227.42749567778185,136.0260005400114,41.66666666666667,65.77225346974238,-14.974536710775173,244.60091592762933,209.9180181860452,0.21185770750988142,21.07650756999999
