run_no,file,lap_time,session,username,brake_mean,brake_std,brake_median,brake_max,brake_q25,brake_q75,CHA_Speed_mean,CHA_Speed_std,CHA_Speed_median,CHA_Speed_max,CHA_Speed_q25,CHA_Speed_q75,throttle_mean,throttle_std,throttle_median,throttle_max,throttle_q25,throttle_q75,steer_mean,steer_std,steer_median,steer_max,steer_q25,steer_q75,engineRPM_mean,engineRPM_std,engineRPM_median,engineRPM_max,engineRPM_q25,engineRPM_q75,steer_speed_mean,steer_speed_std,steer_speed_median,steer_speed_max,steer_speed_q25,steer_speed_q75,rolling_std__brake_mean,rolling_std__brake_std,rolling_std__brake_median,rolling_std__brake_max,rolling_std__brake_q25,rolling_std__brake_q75,rolling_std__CHA_Speed_mean,rolling_std__CHA_Speed_std,rolling_std__CHA_Speed_median,rolling_std__CHA_Speed_max,rolling_std__CHA_Speed_q25,rolling_std__CHA_Speed_q75,rolling_std__throttle_mean,rolling_std__throttle_std,rolling_std__throttle_median,rolling_std__throttle_max,rolling_std__throttle_q25,rolling_std__throttle_q75,rolling_std__steer_mean,rolling_std__steer_std,rolling_std__steer_median,rolling_std__steer_max,rolling_std__steer_q25,rolling_std__steer_q75,rolling_std__engineRPM_mean,rolling_std__engineRPM_std,rolling_std__engineRPM_median,rolling_std__engineRPM_max,rolling_std__engineRPM_q25,rolling_std__engineRPM_q75,rolling_std__steer_speed_mean,rolling_std__steer_speed_std,rolling_std__steer_speed_median,rolling_std__steer_speed_max,rolling_std__steer_speed_q25,rolling_std__steer_speed_q75,bkpoint_relative,bkrelease_relative,brkmax_relative,brkmax_brake,brkpoint_grad,brkrelease_grad,speed_entry,speed_exit,porc_full_throttle,segment_time
14,20190730-115452_2387142_03.csv,114.25999451,3,20190730.oliver_pimas,0.0,0.0,0.0,0.0,0.0,0.0,196.65821540677527,7.563357091079049,196.8324486135759,208.93249769363499,190.09113211799857,203.31295499398362,100.0,0.0,100.0,100.0,100.0,100.0,-0.22754913294797688,1.306247751377546,-0.405,2.4570000000000003,-1.0125,0.7559999999999999,6548.841040462427,355.81969122907327,6493.7,7304.2,6287.4,6682.7,1.6428733774800003e-16,24.25679298287293,0.0,81.0,-18.90000000000001,18.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,183.4961902508017,208.93249769363499,1.0,2.8984985299999835
15,20190730-115452_2387142_04.csv,108.91299438,3,20190730.oliver_pimas,0.0,0.0,0.0,0.0,0.0,0.0,185.4076093499891,9.60593960117365,186.1509293935993,200.59420165087525,177.44660705644162,193.72071560976642,100.0,0.0,100.0,100.0,100.0,100.0,0.23263783783783787,1.002827222794589,0.0,2.079,-0.6074999999999999,0.945,6420.648108108107,365.14370058266877,6351.4,7106.6,6125.5,6749.3,1.2113513513513514,14.844345681349617,0.0,56.69999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,167.2605782834437,200.59420165087525,1.0,3.065490720000014
16,20190730-120314_2888369_01.csv,106.76399613,4,20190730.oliver_pimas,0.0,0.0,0.0,0.0,0.0,0.0,200.2449494319037,7.109160857675025,200.60243306967106,211.716171414656,194.23752566737096,206.4372921723331,100.0,0.0,100.0,100.0,100.0,100.0,0.07487790697674415,1.2052426751732415,0.18899999999999997,2.079,-0.6074999999999999,0.945,6473.713953488371,228.36665484244335,6486.200000000001,6838.8,6288.250000000001,6666.35,1.640406976744186,15.85657051472266,0.0,60.750000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,187.24178495247048,211.716171414656,1.0,2.848999020000008
17,20190730-120314_2888369_02.csv,107.27900695,4,20190730.oliver_pimas,0.0,0.0,0.0,0.0,0.0,0.0,183.57756643313664,9.567352460640866,184.77913343543963,198.85829417393686,175.79467910363348,191.67952505267198,100.0,0.0,100.0,100.0,100.0,100.0,0.3268155080213904,0.6915266961042609,0.18899999999999997,1.5119999999999998,-0.2025,1.1340000000000001,6694.4481283422465,411.44374435393166,6707.4,7307.8,6305.9,7078.3,0.30320855614973263,10.23092982742477,0.0,20.25000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,165.15625622321187,198.85829417393686,1.0,3.100006109999974
18,20190730-120314_2888369_03.csv,107.39601136,4,20190730.oliver_pimas,0.0,0.0,0.0,0.0,0.0,0.0,194.06661975659506,7.992959618639668,194.45215416130313,207.0157579340897,187.2802498476975,201.0441452923412,100.0,0.0,100.0,100.0,100.0,100.0,0.18694067796610167,0.42313705755022807,0.18899999999999997,0.945,-0.0,0.37799999999999995,6577.972881355932,387.5068766972702,6490.3,7300.0,6284.3,6685.3,-0.8084745762711866,11.568702215690221,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,179.48333025754562,207.0157579340897,1.0,2.9325256299999864
19,20190730-120314_2888369_04.csv,106.39648437,4,20190730.oliver_pimas,0.0,0.0,0.0,0.0,0.0,0.0,197.82171842142947,7.45883480183433,198.13220082724968,209.91445037857116,191.47429840059482,204.390463293002,100.0,0.0,100.0,100.0,100.0,100.0,0.20765028901734106,0.7421779999954469,0.18899999999999997,1.7009999999999998,-0.2025,0.5670000000000001,6518.950867052024,319.89534782533235,6489.3,7302.7,6286.6,6673.0,0.6945086705202312,9.525503491312456,0.0,20.25000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,184.79989266686488,209.91445037857116,1.0,2.882476810000007
0,20190731-162513_12333271_01.csv,118.34149933,0,20190731.3roman,0.0,0.0,0.0,0.0,0.0,0.0,193.47876099508932,8.082332339287778,193.84692469565329,206.46149417883038,186.6458780451502,200.57151749179994,100.0,0.0,100.0,100.0,100.0,100.0,-0.6438579545454546,1.1262682792526164,-0.5535,2.0115,-1.4715,0.18899999999999997,6300.030113636364,273.78599098459284,6305.1,7068.6,6080.275000000001,6512.45,0.0,12.110937205683136,0.0,18.900000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,178.61994745252838,206.46149417883038,1.0,2.9319992100000007
1,20190731-162513_12333271_02.csv,127.35600281,0,20190731.3roman,0.0,0.0,0.0,0.0,0.0,0.0,194.033592260033,6.84127507506157,193.56970933429847,206.1639887757316,186.8407764472884,200.14997150395402,100.0,0.0,100.0,100.0,100.0,100.0,-0.8633898305084745,2.026678530061977,-0.7424999999999999,2.0115,-1.836,0.5535,6639.95197740113,438.7853573024053,6502.1,7311.5,6299.1,7256.7,2.280508474576272,14.226739439551624,0.0,37.80000000000001,0.0,17.549999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,183.73191331943616,206.1639887757316,1.0,2.931991580000016
2,20190731-162513_12333271_03.csv,109.24551391,0,20190731.3roman,0.0,0.0,0.0,0.0,0.0,0.0,195.08310923541137,7.7643887766012885,195.4348231685383,207.71301963775693,188.3588808217218,201.85717841262027,100.0,0.0,100.0,100.0,100.0,100.0,-0.24537784090909096,0.8793095314704261,-0.18899999999999997,1.6469999999999998,-0.7424999999999999,-0.0,6568.786363636363,379.50482780496054,6491.200000000001,7303.2,6287.9,6677.650000000001,1.9866477272727272,8.65557000587618,0.0,36.449999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,181.13638745074718,207.71301963775693,1.0,2.914978029999979
3,20190731-162513_12333271_04.csv,143.5674743700001,0,20190731.3roman,0.0,0.0,0.0,0.0,0.0,0.0,200.14085506030207,7.175454990174635,200.53062375603866,211.67379789893693,194.08129084936644,206.3934047129489,100.0,0.0,100.0,100.0,100.0,100.0,-0.06867732558139535,0.6560110822304605,0.18899999999999997,0.7290000000000001,-0.04724999999999999,0.3645000000000001,6470.1651162790695,230.59783871592168,6484.200000000001,6831.4,6282.425,6668.65,0.43168604651162806,8.191205457576144,0.0,37.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,187.02372555784896,211.67379789893693,1.0,2.848999020000008
