CHA_Speed,brake,throttle,steer,position.x,position.z,tel_time,engineRPM,lapDistance
171.6341534753665,0.0,100.00468663352838,190.3846425722016,601.8953504603705,526.5198580171564,49.35263366471613,6830.071309423435,0.0
171.6504625422513,0.0,100.00363795381614,188.06097806581514,602.3951512112252,526.4993038947964,49.36312046183855,6826.361080601522,0.5
171.6667716091361,0.0,100.0025892741039,185.73731355942869,602.8949519620797,526.4787497724365,49.37360725896097,6822.650851779609,1.0
171.6830806760209,0.0,100.00154059439166,183.41364905304223,603.3947527129344,526.4581956500765,49.3840940560834,6818.940622957696,1.5
171.69938974290568,0.0,100.00049191467942,181.08998454665576,603.8945534637891,526.4376415277166,49.39458085320582,6815.230394135783,2.0
171.71569880979047,0.0,99.99944323496717,178.7663200402693,604.3943542146437,526.4170874053567,49.40506765032824,6811.520165313869,2.5
171.73200787667528,0.0,99.99839455525493,176.44265553388283,604.8941549654984,526.3965332829968,49.41555444745066,6807.809936491956,3.0
171.74831694356007,0.0,99.99734587554269,174.11899102749638,605.393955716353,526.3759791606368,49.426041244573085,6804.099707670043,3.5
171.76462601044486,0.0,99.99629719583045,171.79532652110993,605.8937564672077,526.3554250382768,49.4365280416955,6800.38947884813,4.0
171.78093507732967,0.0,99.99524851611821,169.47166201472345,606.3935572180624,526.3348709159169,49.44701483881793,6796.679250026217,4.5
171.7439592448937,0.0,99.99564003690811,143.45905172167932,606.8934619972318,526.3208794740596,49.45750046135134,6808.527133917712,5.0
171.69043410124567,0.0,99.99647885752631,110.08908988801744,607.3933990856855,526.30892628025,49.467985719078975,6825.207081910834,5.5
171.63690895759763,0.0,99.99731767814453,76.71912805435556,607.8933361741391,526.2969730864405,49.47847097680661,6841.887029903955,6.0
171.58338381394958,0.0,99.99815649876274,43.34916622069369,608.3932732625927,526.285019892631,49.48895623453424,6858.566977897077,6.5
171.52985867030156,0.0,99.99899531938095,9.979204387031814,608.8932103510464,526.2730666988215,49.49944149226188,6875.246925890198,7.0
171.5620871719588,0.0,99.999,-29.699093344748633,609.3932559069658,526.2727913319736,49.50993340132114,6873.90436397821,7.5
171.5947968639992,0.0,99.999,-69.41278911187777,609.8933020715299,526.2725814930459,49.5204253477031,6872.460672156053,8.0
171.62750655603958,0.0,99.999,-109.12648487900691,610.393348236094,526.2723716541183,49.53091729408506,6871.016980333896,8.5
171.66021624807996,0.0,99.999,-148.84018064613605,610.893394400658,526.2721618151907,49.54140924046702,6869.573288511739,9.0
171.68754721273947,0.0,99.99904797843213,-179.48994878471132,611.3934285606471,526.2735832882605,49.551898921606856,6865.983353333082,9.5
171.69675464409252,0.0,99.999257619401,-179.5989620885272,611.893422271418,526.2805014402334,49.56238097005069,6855.161686519667,10.0
171.7059620754456,0.0,99.99946726036988,-179.7079753923431,612.3934159821889,526.2874195922063,49.57286301849453,6844.340019706251,10.5
171.71516950679865,0.0,99.99967690133876,-179.81698869615897,612.8934096929598,526.2943377441793,49.583345066938364,6833.5183528928355,11.0
171.72437693815172,0.0,99.99988654230765,-179.92600199997486,613.3934034037308,526.3012558961522,49.5938271153822,6822.696686079421,11.5
171.73043373400998,0.0,100.0,-179.93949138111816,613.8934673489074,526.3089447217212,49.60431063624544,6812.999188021642,12.0
171.7327740435348,0.0,100.0,-179.84030084301472,614.3936141425156,526.3175426330579,49.614795893973074,6804.627758251898,12.5
171.7351143530596,0.0,100.0,-179.7411103049113,614.8937609361238,526.3261405443945,49.62528115170071,6796.2563284821545,13.0
171.7374546625844,0.0,100.0,-179.64191976680786,615.393907729732,526.3347384557312,49.63576640942835,6787.88489871241,13.5
171.73979497210922,0.0,100.0,-179.54272922870445,615.8940545233402,526.3433363670679,49.64625166715598,6779.513468942667,14.0
171.7019063193658,0.0,100.0,-127.47573730128767,616.394085524936,526.346868503838,49.65673753198272,6792.98153097605,14.5
171.6459606795017,0.0,100.0,-52.0827168742922,616.8940645526613,526.3481268403171,49.66722366930917,6816.252366930918,15.0
171.5900150396376,0.0,100.0,23.31030355270326,617.3940435803867,526.3493851767963,49.677709806635626,6839.523202885785,15.5
171.5340693997735,0.0,100.0,98.70332397969872,617.8940226081121,526.3506435132755,49.688195943962086,6862.794038840652,16.0
171.4781237599094,0.0,100.0,174.0963444066942,618.3940016358374,526.3519018497547,49.69868208128854,6886.06487479552,16.5
171.44963810964083,0.0,100.0,179.97351417769377,618.8939031716026,526.3458029825666,49.70918283973955,6874.035475740391,17.0
171.42347553875237,0.0,100.0,179.9697334593573,619.3937981516488,526.3390817055241,49.71968483511867,6859.019722747322,17.5
171.39731296786388,0.0,100.0,179.9659527410208,619.893693131695,526.3323604284815,49.73018683049779,6844.003969754253,18.0
171.37115039697542,0.0,100.0,179.9621720226843,620.3935881117412,526.3256391514388,49.740688825876916,6828.988216761185,18.5
171.34950446293493,0.0,99.99989851235502,179.09611821314508,620.893479702471,526.3186806606153,49.7511914607497,6815.6193704824345,19.0
171.35139553706506,0.0,99.99926815431165,173.73660400907715,621.3933536308623,526.3104860060515,49.76169742813918,6810.832851739789,19.5
171.35328661119516,0.0,99.99863779626828,168.37708980500923,621.8932275592537,526.3022913514876,49.77220339552866,6806.046332997143,20.0
171.35517768532526,0.0,99.99800743822492,163.0175756009413,622.393101487645,526.2940966969238,49.78270936291814,6801.259814254497,20.5
171.3570687594554,0.0,99.99737708018155,157.65806139687342,622.8929754160363,526.28590204236,49.79321533030762,6796.473295511851,21.0
171.35668077973367,0.0,99.99725320337774,131.3417901104902,623.3928746796622,526.2796495819854,49.803720056295425,6795.3132147208335,21.5
