CHA_Speed,brake,throttle,steer,position.x,position.z,tel_time,engineRPM,lapDistance
221.56725903194493,0.0,99.99869635858144,3.1717725367757974,601.8997844308402,526.3477165253939,44.18431792907208,6740.672846138384,0.0
221.5960191232264,0.0,99.99885873488722,3.1194873663115277,602.3999034526723,526.3425204836087,44.192436744361565,6741.526945506837,0.5
221.62477921450787,0.0,99.99902111119302,3.0672021958472584,602.9000224745046,526.3373244418234,44.20055555965105,6742.38104487529,1.0
221.65353930578934,0.0,99.99918348749881,3.0149170253829887,603.4001414963367,526.3321284000382,44.20867437494053,6743.235144243744,1.5
221.68229939707078,0.0,99.99934586380459,2.962631854918719,603.9002605181688,526.3269323582529,44.216793190230014,6744.089243612198,2.0
221.71105948835225,0.0,99.99950824011039,2.9103466844544497,604.4003795400009,526.3217363164675,44.22491200551949,6744.943342980651,2.5
221.73981957963372,0.0,99.99967061641618,2.85806151399018,604.900498561833,526.3165402746823,44.23303082080898,6745.797442349104,3.0
221.7685796709152,0.0,99.99983299272196,2.80577634352591,605.4006175836652,526.311344232897,44.241149636098456,6746.651541717558,3.5
221.79733976219666,0.0,99.99999536902776,2.753491173061641,605.9007366054973,526.3061481911118,44.24926845138794,6747.505641086012,4.0
221.82528329816887,0.0,99.99984237971775,2.3254795162426056,606.4006280895995,526.3019018726617,44.25738101411229,6748.314949005585,4.5
221.85320286230697,0.0,99.99968013213443,1.8864375557726065,606.9005128938154,526.2976834354953,44.265493393278405,6749.12294197053,5.0
221.88112242644507,0.0,99.99951788455111,1.4473955953026076,607.4003976980313,526.2934649983289,44.27360577244452,6749.930934935474,5.5
221.90904199058315,0.0,99.99935563696778,1.0083536348326088,607.9002825022471,526.2892465611625,44.28171815161063,6750.738927900419,6.0
221.93696155472125,0.0,99.99919338938446,0.5693116743626101,608.400167306463,526.2850281239961,44.28983053077675,6751.546920865364,6.5
221.96488111885935,0.0,99.99903114180114,0.130269713892611,608.9000521106788,526.2808096868297,44.29794290994286,6752.354913830309,7.0
221.99297162467212,0.0,99.99913100290843,-0.25229362251267007,609.4000129696219,526.2773799418312,44.306050145421885,6753.142744047755,7.5
222.02110273457996,0.0,99.99929312318223,-0.6214414859295817,609.8999918939863,526.2741375363554,44.31415615911132,6753.9257849701535,8.0
222.04923384448776,0.0,99.99945524345601,-0.9905893493464935,610.3999708183508,526.2708951308797,44.322262172800755,6754.708825892553,8.5
222.0773649543956,0.0,99.9996173637298,-1.359737212763405,610.8999497427152,526.2676527254039,44.33036818649019,6755.491866814953,9.0
222.1054960643034,0.0,99.9997794840036,-1.7288850761803167,611.3999286670795,526.2644103199282,44.338474200179625,6756.274907737352,9.5
222.13362717421123,0.0,99.99994160427738,-2.098032939597229,611.8999075914439,526.2611679144524,44.34658021386907,6757.057948659752,10.0
222.16200564911713,0.0,100.0,-2.160728754252389,612.3999518224526,526.258238036611,44.35468224526162,6757.883099303418,10.5
222.19052338765593,0.0,100.0,-2.050895609914142,612.9000328203467,526.2554841082132,44.3627820346671,6758.731957233112,11.0
222.21904112619472,0.0,100.0,-1.941062465575895,613.4001138182407,526.2527301798153,44.370881824072576,6759.580815162806,11.5
222.24755886473352,0.0,100.0,-1.8312293212376478,613.9001948161348,526.2499762514175,44.378981613478054,6760.4296730925,12.0
222.27607660327232,0.0,100.0,-1.7213961768994008,614.4002758140288,526.2472223230196,44.387081402883524,6761.278531022193,12.5
222.3045943418111,0.0,100.0,-1.6115630325611536,614.9003568119228,526.2444683946218,44.395181192289,6762.127388951887,13.0
222.3331013065717,0.0,100.0,-1.2873365490449988,615.4003999999999,526.2416399482033,44.4032779216575,6762.972903852379,13.5
222.36159596503722,0.0,100.0,-0.7182203302039497,615.9003999999999,526.2387263839431,44.41137115571382,6763.814600194238,14.0
222.39009062350274,0.0,100.0,-0.14910411136290058,616.4004,526.2358128196828,44.419464389770155,6764.656296536095,14.5
222.4185852819683,0.0,100.0,0.42001210747814843,616.9004,526.2328992554225,44.42755762382648,6765.497992877954,15.0
222.4470799404338,0.0,100.0,0.9891283263191977,617.4004,526.2299856911623,44.43565085788281,6766.339689219812,15.5
222.47557459889933,0.0,100.0,1.5582445451602467,617.9004,526.2270721269019,44.44374409193914,6767.18138556167,16.0
222.50387789609886,0.0,99.99995328977163,2.065949343339588,618.4003813159086,526.2241592158892,44.45183551141878,6768.017287960147,16.5
222.53170994630267,0.0,99.9997915507537,2.4224221388367737,618.9003166203015,526.2212479135667,44.45992246231481,6768.838922171184,17.0
222.55954199650645,0.0,99.99962981173579,2.7788949343339593,619.4002519246943,526.2183366112441,44.468009413210844,6769.660556382221,17.5
222.58737404671024,0.0,99.99946807271786,3.1353677298311453,619.9001872290871,526.2154253089216,44.47609636410687,6770.482190593259,18.0
222.61520609691402,0.0,99.99930633369993,3.491840525328331,620.4001225334799,526.212514006599,44.48418331500291,6771.303824804296,18.5
222.64303814711784,0.0,99.99914459468202,3.8483133208255165,620.9000578378727,526.2096027042763,44.492270265898945,6772.125459015332,19.0
222.67075699130493,0.0,99.999,4.1118534117723105,621.400005139477,526.2067087629699,44.50035657950027,6772.945144002327,19.5
222.69752106021917,0.0,99.999,3.5916025794356266,621.9000536251091,526.2039612438181,44.50843751818211,6773.748389307301,20.0
222.72428512913342,0.0,99.999,3.0713517470989427,622.4001021107412,526.2012137246662,44.51651845686395,6774.551634612277,20.5
222.75104919804767,0.0,99.999,2.5511009147622588,622.9001505963732,526.1984662055145,44.524599395545785,6775.354879917251,21.0
